Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
835	40044	Aut1	Aut1 -CG6877 gene product from transcript CG6877-RA	Drosophila melanogaster		FBgn0036813		atg3 Atg3 CG6877 Dmel\CG6877 Draut1	decrease	Depletion of Atg3 from the first day of imaginal stage shortens life span in Drosophila and causes morphological and behavioral features of premature aging.	pro		28	RNA interference	
1905	35900	babo	baboon	Drosophila melanogaster					increase	Post developmental RNA interference of Babo increases lifespan in muscle (16%) but not in adipose tissue. 	anti		16.39	Post developmental RNA interference	
836	43038	bam	bag of marbles	Drosophila melanogaster		FBgn0000158		alpha Bam BAM Bam-C BamC BamF CG10422 Dmel\CG10422	increase	Drosophila Bam overexpressing mutants have an extended lifespan due to germ cell loss. 	pro		50	Mutations	
41	33819	bchs	blue cheese	Drosophila melanogaster	Dm.12933	FBgn0043362		alfy BcDNA:SD12984 bchd Bchs Beach1 CG14001 CG9011	decrease	Mean lifespan is decreased 40-45% in bchs mutant adults. No pronounced developmental defects were observed and young adults have normal behaviors, indicating that the bchs gene is essential for normal adult survival and longevity.	pro		45	Mutation	
41	33819	bchs	blue cheese	Drosophila melanogaster	Dm.12933	FBgn0043362		alfy BcDNA:SD12984 bchd Bchs Beach1 CG14001 CG9011	decrease	Mutants showed a 40% reduction in maximum lifespan.	pro	40		Mutation	
41	33819	bchs	blue cheese	Drosophila melanogaster	Dm.12933	FBgn0043362		alfy BcDNA:SD12984 bchd Bchs Beach1 CG14001 CG9011	decrease	Mutants showed a 13% reduction in maximum lifespan.	pro	13		Mutations	
46	39322	Bmcp	Bmcp	Drosophila melanogaster	Dm.4611	FBgn0036199		bmcp CG7314 DmBMCP Dmel\CG7314 dmUCP5 DmUCP5 ucp5 	increase	Knockout flies live longer on low-calorie diets, have a decreased fertility, and gain less weight on high-calorie diets.	anti			Knockout	
837	44801	bsk	basket	Drosophila melanogaster		FBgn0000229		Bsk BSK BSK/DJNK c-Jun CG5680 D-JNK D-junk DBSK/JN	decrease	RNA interference of Bsk in intestinal stem cells, results in mutants with impaired intestinal homeostasis and tissue regeneration and are short-lived.	pro		16	RNA interference	
89	32947	car	carnation	Drosophila melanogaster	Dm.2099	FBgn0000257		Car carn CG12230 Dm-Vps33 Dmel\CG12230 l(1)G0447 V	increase	Loss-of-function mutation results in a 30% maximum lifespan reduction.	pro	30		Mutation	
91	40048	Cat	Catalase	Drosophila melanogaster	Dm.6950	FBgn0000261		bs36h11.y1 cat CAT CatA CATA CG6871 CT21282 DMCATH	increase	Overexpression of catalase and Sod1 result in a one-third lifespan extension, a slower rate of mortality acceleration, and a delayed loss in physical performance.	pro		33	Overexpression	
1791	33081	Cbs	Cystathionine beta-synthase	Drosophila melanogaster				CBS CG1753 dCBS Dmel\CG1753	increase	Adult-specific ubiquitous overexpression of dCBS increases female mean and maximum lifespan by 12 - 43% and 10%, respectively. Males exhibit a smaller, but still significant increase in lifespan by 7% upon dCBS overexpression. Neuronal overexpression also increases lifespan, albeit modestly (approximately 12% mean and 15% maximum lifespan extension), whereas overexpression in the fat body and in the gut has no effect.	pro		43	Overexpression	
101	117353	Cct1	CTP:phosphocholine cytidylyltransferase 1	Drosophila melanogaster	Dm.4419	FBgn0041342		Cct cct1 CCT1 CG1049 CT41283 Dmel\CG1049	increase	Overexpression results in a 6-8% increase in mean lifespan.	pro		8	Overexpression	
108	36727	Cdk5	Cyclin-dependent kinase 5	Drosophila melanogaster	Dm.640	FBgn0013762		cdk5 CDK5 CG8203 DmCdk5 Dmel\CG8203	decrease	Loss-of-function mutations result in defective axon guidance, age-dependent behavioral deficits and reduced lifespan by about one third.	pro		33	Mutation	
117	38928	cert	ceramide transfer protein	Drosophila melanogaster	Dm.3152	FBgn0027569		BcDNA:GH07688 CERT CG7207 dcert Dcert Dmel\CG7207	decrease	Mutant flies exhibited a shortened lifespan accompanied by enhanced oxidative damage to cellular proteins and metabolic compromise, such as increasing glucose levels, reminiscent of premature ageing.	pro			Mutation	
1909	35751	CG11165	CG11165	Drosophila melanogaster	7919			BcDNA:AT10229 BcDNA:AT23738 Dmel\CG11165	increase	Overexpression of azot (CG11165) results in an increased median (54%) and maximum (17%) lifespan. Contrastly, the lack of azot results in a decreased median (52%) and maximum (25%) lifespan.	pro	17	54	Overexpression	
1963	38100	CG13890	CG13890	Drosophila melanogaster	11220			Dmel\CG13890	increase	Overexpression of CG13890 in flies increases lifespan. 	pro		31	Overexpression	
2102	32955	CG14207	CG14207-PA	Drosophila melanogaster					increase	Overexpression of CG14207 led to a slight but statistically significant increase in lifespan (6%). In addition, CG14207 overexpression potently assisted in HSP70 refolding of stress denatured proteins. 	pro		5	Overexpression	
838	43369	CG17856	CG17856 gene product from transcript CG17856-RA	Drosophila melanogaster		FBgn0039576		Dmel\CG17856	increase	RNAi restulted in an increase in mean life span of 13-18% in female flies. In the case of males and post-developmental experiments the results are variable. 	anti		18	RNA interference	
839	59170	CG18809	CG18809 gene product from transcript CG18809-RA	Drosophila melanogaster		FBgn0042132		Dmel\CG18809	increase	RNAi restulted in a 7-19% increase in mean female lifespan, while neural RNAi resulted in an increased mean lifespan of up to 12% in females. Results for males are variable. 	anti		19	RNA interference	
1927	33231	CG2789	CG2789	Drosophila melanogaster	4332			anon-EST:Posey116 Dmel\CG2789	increase	Lack or inhibition of CG2789/dTSPO (pharmacologically or through RNA interference) extends lifespan in male flies.	anti	15	27	RNA interference	
857	37996	CG3776	Juvenile hormone esterase binding protein 29 (DmP29)	Drosophila melanogaster		FBgn0035088		Dmel\CG3776 DmP29 EP(2)0835 Jhebp29 P29	decrease	Both overexpression and underexpression of Jhebp29 caused reduction in mean lifespan. The reduction in male flies was slightly higher.	anti		42.6	Overexpression	
858	37996	CG3776	Juvenile hormone esterase binding protein 29 (DmP29)	Drosophila melanogaster		FBgn0035088		Dmel\CG3776 DmP29 EP(2)0835 Jhebp29 P29	decrease	Both overexpression and underexpression of Jhebp29 caused reduction in mean lifespan. The reduction in male flies was slightly higher.	pro		38.8	Mutations	
1854	7354421	CG42358	CG42358	Drosophila melanogaster	10164			CG5558 Dmel\CG42358	increase	RNA interference of dNsun5 extends mean lifespan of worms by 16-20%. High nutrient diet abrogated this effect. 	anti		20	RNA interference	
1854	7354421	CG42358	CG42358	Drosophila melanogaster	10164			CG5558 Dmel\CG42358	decrease	Overexpression of dNsun5 reduces mean lifespan by 58%.	anti		58	Overexpression	
840	39761	CG5389	CG5389 gene product from transcript CG5389-RA	Drosophila melanogaster		FBgn0036568		Dmel\CG5389	increase	RNAi started from the development resulted in a mild increase in lifespan in both sexes (3-11% in females, and 3-8% in males). Post-developmental RNAi and experiments limited to neurons had variable effects with reductions in lifespan of up to 9%.	anti		11	RNA interference	
841	32565	CG9172	CG9172 gene product from transcript CG9172-RA	Drosophila melanogaster		FBgn0030718		20 kDa Dmel\CG9172	increase	RNAi increased mean lifespan in female flies up to 4-12% when done in both development and adulthood, and up to 46% when done in adult neurons only. The effect is variable in male flies.	anti		46	RNA interference	
2099	32328	CG9940	CG9940	Drosophila melanogaster					increase	Overexpression of CG9940 resulted in increased lifespan, enhanced cardiac output, reduced heart failure and delayed mobility decline. Downregulating CG9940 expression had the opposite effect. 	pro			Overexpression	
123	42066	cher	cheerio	Drosophila melanogaster	Dm.6964	FBgn0014141		CG3937 Cher Dmel\CG3937 Fil FLN joy sko	increase	Overexpression results in a 7-9% increase in mean lifespan.	pro		9	Overexpression	
124	64880	chico	Insulin receptor substrate-1	Drosophila melanogaster	Dm.3017	FBgn0024248		anon-WO0078940.1 anon-WO0078940.4 BcDNA.GH11263 Bc	increase	Lifespan extension of 48% in homozygotes and 36% in heterozygotes.	anti		48	Knockout	
2106	43928	chm	chameau	Drosophila melanogaster					increase	Reduced chm activity extended male fly lifepsan by 24%.	anti		24	Mutation	
133	31647	cm	carmine	Drosophila melanogaster	Dm.230	FBgn0000330		ap-3 AP-3 AP3mu3 cg3035 CG3035 CG32731 Dmel\CG3035	decrease	Loss-of-function mutation reduces maximum lifespan by 40%.	pro	40		Mutation	
2013	40988	Coq2	Coenzyme Q biosynthesis protein 2	Drosophila melanogaster					increase	Heterozygous loss-of-function sbo (Coq2) mutants display an increased mean lifespan in both males and females (by 12.5% and 30.8%, respectively).	anti		30.8	Mutation	
2071	34592	crol	crooked legs	Drosophila melanogaster					increase	Insertion of a p-element in the crol gene results in longer lived male mutants. Revertant alleles, in which the p-element was excised displayed reverted lifespan similar to that of the controls.	anti		26.8	Mutation	
1899	33474	daw	dawdle	Drosophila melanogaster					increase	Post developmental RNA interference of Daw in the whole body increases lifespan by up to 35%. Tissue specific RNA interference also increases lifespan mildly (by ~11%) in muscle but not in adipose tissue (where it decreases lifespan). 	anti		35.3	Post developmental RNA interference	
178	36543	DJ-1alpha	DJ-1alpha	Drosophila melanogaster	Dm.30975	FBgn0033885		CG6646 DJ-1 DJ-1a DJ-1A Dmel\CG6646	decrease	RNA interference shortened maximum lifespan by 13% and resulted in increased sensitivity to oxidative stress and motor impairments.	pro	13		RNA interference	
179	43652	dj-1beta	dj-1beta	Drosophila melanogaster	Dm.3914	FBgn0039802		CG1349 DJ-1 DJ-1b DJ-1B DJ-1beta Dmel\CG1349	decrease	Loss of function mutation shortened maximum lifespan by 40% and resulted in increased sensitivity to oxidative stress and motor impairments.	pro	40		Mutation	
182	33906	DLP	Daxx-like protein	Drosophila melanogaster	Dm.4888	FBgn0031820		CG9537 Daxx Dmel\CG9537	decrease	DLP mutants have a 20% shorter mean lifespan and reduced female fertility.	pro		20	Mutation	
1955	31310	dm	diminutive	Drosophila melanogaster					decrease	Overexpression of dm (ortholog of the mammalian Myc) during larval development increases the frequency and the severity of somatic mutations, and shortens median lifespan by 42-47%. Maximum lifespan is 30-40% shorter. Contrastly, dm haploinsufficiency lowers the frequency of somatic mutations and extends lifespan by about 14%.	anti	40	47	Overexpression	
842	3772064	DNApol-gamma35	DNA polymerase Gamma	Drosophila melanogaster		FBgn0004407		BG:DS00941.9 br16 CG33084 CG33650 CG8969 D-pol gam	decrease	Overexpression of DNA polimeraze gamma in the nervous system resulted in a decrease in the median lifespan ranging from 39% to 52%	anti		52	Overexpression	
184	31309	dnc	dunce	Drosophila melanogaster	Dm.4817	FBgn0000479		CG10791 CG10792 CG10797 CG14267 CG14268 CG32498 Dm	increase	cAMP phosphodiesterase-deficient dunce mutants had an extended maximum lifespan by about 70%.	anti	70		Mutation	
195	31118	dor	deep orange	Drosophila melanogaster	Dm.3533	FBgn0000482		CG3093 Deep-orange Dmel\CG3093 Dor dor1 EG:171E4.1	decrease	Loss-of-function mutation reduces maximum lifespan by 70%.	pro	70		Mutation	
1902	33432	dpp	decapentaplegic	Drosophila melanogaster					decrease	Post developmental RNA interference of Dpp decreases lifespan.	pro		28.9	Post developmental RNA interference	
2215	33445	Drp1	Dynamin related protein 1	Drosophila melanogaster					increase	Short term overexpression of Drp1 in middle-aged female flies increased median lifespan by 21%. Maximum lifespan was also increased. The increase was less pronounced in male flies. 	pro		21	Overexpression	
843	42327	Dys	Dystrophin	Drosophila melanogaster		FBgn0260003		CG17750 CG31175 CG34157 CG7240 CG7243 CG7344 det D	decrease	The loss of dys function in the heart leads to an age-dependent disruption of the myofibrillar organization within the myocardium as well as to alterations in cardiac performance. dys RNAi-mediated knockdown in the mesoderm also shortens lifespan. A moderate maximal lifespan reduction in the mesodermal dys knockdown flies (13%) was observed, but not when exclusively targeted to the heart. In contrast, half of the transheterozygous DysExel6184/Dyskx43 deficiency flies died at 29 days compared to 63 days in controls.This suggests that a moderate dys loss-of-function in all muscles, but not in just the heart, reduces the fly	pro	13		RNA interference and deletion	
844	39203	E(z)	Enhancer of zeste	Drosophila melanogaster		FBgn0000629		CG6502 Dmel\CG6502 E(Z) E(z)1 Ez EZ E[z] l(3)1902 	increase	Flies heterozygous for the protein null E(z)63 or the catalytically inactive E(z)731 mutation that were progeny of an out-cross to an Oregon-R (O-R) wild-type strain exhibited a substantially greater median life span than the O-R control (71% and 76%, respectively). When derived from an out-cross to a longer-lived Canton-S (C-S) wild-type strain, the median life span of E(z)63 heterozygotes was 33% longer than the C-S control  	anti	54	76	Mutations	
207	35540	EcR	Ecdysone receptor	Drosophila melanogaster	Dm.4159	FBgn0000546		anon-WO0229075.1 CG1765 CG8347 dECR DEcR Dhr23 dmE	increase	Ecdysone receptor mutant heterozygotes live 40%-50% longer than controls.	anti		50	Mutation	
845	31154	Edem1	CG3810 gene product from transcript CG3810-RC	Drosophila melanogaster		FBgn0023511		CG3810 DM-pI Dmel\CG3810 edem1 EDEM1 EG.86E4.2 EG:	increase	The mean lifespan of both male and female mutant flies was increased by more than 30%	anti		30	Mutations	
208	36271	Ef1alpha48D	Elongation factor 148D	Drosophila melanogaster	Dm.29457	FBgn0000556		1275 anon-EST:Liang-1.17 anon-EST:Liang-2.46 CG828	increase	Overexpression results in lifespan extension by 18%-41%.	pro		41	Overexpression	
215	36242	Egm	enigma	Drosophila melanogaster	Dm.11547	FBgn0086712		Acyl CoA DH CG9006 Dmel\CG9006 egm l(2)k14708	increase	Knockouts exhibit increased resistance to oxidative stress and extended lifespan.	anti			Knockout	
445	39675	Eip71CD	Ecdysone-induced protein 28/29kD	Drosophila melanogaster	Dm.2545	FBgn0000565		CG7266 Dmel\CG7266 dmsrA DROZ60MEX Eip28 Eip28 /29	increase	Overexpression in the nervous system extended lifespan by up to 70%, increased resistance to oxidative stress, and delayed the onset of senescence-induced decline in activity levels and reproductive capacity.	pro		70	Overexpression	
445	39675	Eip71CD	Ecdysone-induced protein 28/29kD	Drosophila melanogaster	Dm.2545	FBgn0000565		CG7266 Dmel\CG7266 dmsrA DROZ60MEX Eip28 Eip28 /29	increase	Mean and maximal lifepsan was increased by up to 20% in flies with overexpressed Msra.	pro	20	20	Overexpression	
846	31000	elav	embryonic lethal abnormal vision	Drosophila melanogaster		FBgn0260400		44C11 9F8A9 CG4262 Dmel\CG4262 EC7 EG:65F1.2 Elav 	decrease	Longevity was significantly decreased in elav mutants compared with the control.	pro		66	Mutation	
847	34595	esc	extra sexcombs	Drosophila melanogaster		FBgn0000588		CG14941 dESC Dmel\CG14941 Esc ESC L41867 sc	increase	Males heterozygous for the null esc4 or the dominant negative esc9 mutation that were progeny of an out-cross to an O-R wild-type strain had median life spans that were, respectively, 47% and 60% longer than the O-R control. When derived from an out-cross to a longer-lived C-S wild-type strain, heterozygous esc9 flies had a median life span that was 43% longer than the C-S control .	anti	34	59	Mutations	
2072	34903	esg	escargot	Drosophila melanogaster					increase	Insertion of a p-element in the esg gene results in longer lived male mutants. Revertant alleles, in which the p-element was excised displayed reverted lifespan similar to that of the controls.	anti		21.1	Mutation	
1962	3772232	fabp	fatty acid bindin protein	Drosophila melanogaster	21313			anon-EST:Posey234 anon-WO0140519.12 BcDNA:RH06221 	increase	Overexpression of fabp in flies increases lifespan. 	pro		81	Overexpression	
848	31845	fh	frataxin homolog	Drosophila melanogaster		FBgn0030092		BcDNA:AT09528 CG8971 dfh Dfh DFH Dmel\CG8971 X25	increase	Overexpression of Drosophila frataxin in the mitochondria of female transgenic animals increases antioxidant capability, resistance to oxidative stress insults, and longevity. 	pro	28	35	Overexpression	
2241	43383	fkh	fork head	Drosophila melanogaster					increase	Moderate adult-specific upregulation of fkh in flies increased median survival up to 14%. However, strong fkh induction led to short-lived flies. Gut specific expression of fkh improves gut barrier function in aged flies and increases the expression of nutrient transporters. 	pro		14	Overexpression	
286	41709	foxo	Forkhead box, sub-group O	Drosophila melanogaster	Dm.3957	FBgn0038197		3143 Afx anon-WO0118547.374 cg3143 CG3143 dfoxo dF	increase	Overexpression extends lifespan.	pro			Overexpression	
286	41709	foxo	Forkhead box, sub-group O	Drosophila melanogaster	Dm.3957	FBgn0038197		3143 Afx anon-WO0118547.374 cg3143 CG3143 dfoxo dF	increase	dFOXO, a downstream effector of the insulin/insulin-like growth factor signaling, was overexpressed in the adult Drosophila fat body, which increased lifespan and reduced fecundity of females but had no effect on male lifespan.	pro			Overexpression	
286	41709	foxo	Forkhead box, sub-group O	Drosophila melanogaster	Dm.3957	FBgn0038197		3143 Afx anon-WO0118547.374 cg3143 CG3143 dfoxo dF	increase	Age-specific mortality analysis showed that overexpression of dFOXO in the fat-body of adult females increased median (by 21-33%) and maximum lifespan and lowered the age-specific mortality compared to control flies at all ages, in two independent experiments. Initiation of dFOXO overexpression at different ages increased subsequent lifespan compared to controls, with the magnitude of the increase decreasing as the flies were put on RU486 at older age. The effects of removal of dFOXO overexpression at different ages closely mirrored those of induction of expression , and produced shorter lifespan compared to +RU486 controls, with the shortest lifespans observed in flies taken off RU486 at the earlier ages.	pro		33	Overexpression	
289	45374	fwd	four wheel drive	Drosophila melanogaster	Dm.1632	FBgn0004373		anon-WO0118547.259 CG7004 Dmel\CG7004 PI4K	increase	Overexpression increased mean lifespan by 7-9%.	pro		9	Overexpression	
291	44819	g	garnet	Drosophila melanogaster	Dm.1817	FBgn0001087		AP-3delta AP3delta CG10986 cg11197 CG11197 delta D	decrease	Loss-of-function mutation reduces maximum lifespan by 7-30%.	pro	30		Mutation	
849	35646	Gadd45	CG11086 gene product from transcript CG11086-RA	Drosophila melanogaster		FBgn0033153		BcDNA:RH70774 CG11086 D-GADD45 Dmel\CG11086 GADD45	increase	Overexpression of the D-GADD45 gene in the nervous system leads to a significantly increase of Drosophila lifespan without a decrease in fecundity and locomotor activity. The lifespan extension effect is more pronounced in malesthan in females. In addition an increase in maximum life span was detected.	pro	59	77	Overexpression	
293	53581	Gclc	Glutamate-cysteine ligase catalytic subunit	Drosophila melanogaster	Dm.1723	FBgn0040319		2259 CG2259 Dmel\CG2259 DmGCLC DmGCS DmGCSh GCL GC	increase	Overexpression extended mean and maximum lifespan by up to 50%.	pro	50	50	Overexpression	
294	248194	Gclm	Glutamate-cysteine ligase modifier subunit	Drosophila melanogaster	Dm.36873	FBgn0046114		4919 box CG4919 Dmel\CG4919 DmGCLM DmGCSl GCLm Gcs	increase	Overexpression extended the mean lifespan by up to 24%.	pro		24	Overexpression	
304	40201	gig	gigas	Drosophila melanogaster	Dm.2047	FBgn0005198		6975 C1 CG6975 Dmel\CG6975 dTsc2 dTSC2 gig|Tsc2 l(	increase	Overexpression of gig, also known as dTsc2, results in lifespan extension.	pro			Overexpression	
305	36447	GLaz	Glial Lazarillo	Drosophila melanogaster	Dm.2811	FBgn0033799		CG4604 DGLaz Dmel\CG4604	increase	Overexpression resulted in increased resistance to hyperoxia and a 29% extension of mean lifespan under normoxia. Lifespan was also extended 30-60% under starvation.	pro		29	Overexpression	
305	36447	GLaz	Glial Lazarillo	Drosophila melanogaster	Dm.2811	FBgn0033799		CG4604 DGLaz Dmel\CG4604	decrease	The absence of GLaz reduces the organism's resistance to oxidative stress and starvation and shortens male lifespan. Median survival time is reduced by 19.3%, maximum survival time is reduced by 10.9%.	pro	10.9	19.3	Deletion	
1900	33386	GlyP	Glycogen phosphorylase	Drosophila melanogaster					increase	Post developmental RNA interference of GlyP increases lifespan.	anti		17.1	Post developmental RNA interference	
1919	41823	GlyS	Glycogen synthase	Drosophila melanogaster					increase	Neuron-specific RNA interference of glycogen synthase (GlyS) in adult fly males results in a significantly longer median (10%) and maximum lifespan compared to wild-type controls. No significant lifespan increase is observed in fly females.	anti		10	Post developmental RNA interference	
2096	41561	Gnmt	Glycine N-methyltransferase	Drosophila melanogaster					increase	Gnmt acts to buffer systemic S-adenosyl-methionine (SAM) synthesis. Overexpression of Gnmt resulted in an increase in lifespan, dependant on increased Gnmt enzymatic activity. 	pro			Overexpression	
2152	33824	Gpdh	Glycerol 3 phosphate dehydrogenase	Drosophila melanogaster					increase	A mutation that decreased Gpdh activity (59.6% of the wildtype) in flies increased lifespan by 20%. This difference in lifespan was also observed between mutant and wild type flies subjected to dietary restriction. 	anti		20	Mutation	
850	38453	Gr63a	Gustatory receptor 63a	Drosophila melanogaster		FBgn0035468		CG14979 Dmel\CG14979 DmGr63a GR63a Gr63F1	increase	Gr63a loss of function in female flies leads to extended lifespan, increased fat deposition, and enhanced resistance to some (but not all) environmental stresses. Lifespan extension was not observed in males. Overexpression of Gr63a had a modest negative effect on lifespan	anti		30	Deletion	
851	36927	GstS1	Glutathione S transferase S1	Drosophila melanogaster		FBgn0010226		CG8938 Dmel\CG8938 DmGst-2 DmGST-2 DmGST2 DmGSTS1 	increase	Increased average female lifespan (by 33%)   	pro		33	Overexpression	
852	36011	hebe	hebe gene product from transcript hebe-RD 	Drosophila melanogaster		FBgn0033448		CG1623 Dmel\CG1623	increase	Adult-specific overexpression of hebe increases lifespan by 5-30% and modulates late-age female fecundity.	pro		24	Overexpression	
2150	45875	Hex-A	Hexokinase A	Drosophila melanogaster					increase	A mutation that decreased Hex-A activity in flies increased lifespan by 10%. 	anti		10	Mutation	
2151	44008	Hex-C	Hexokinase C	Drosophila melanogaster					increase	A mutation that decreased Hex-C activity in flies increased lifespan by more than 6 days. When flies with mutant Hex-C were subjected to dietary restriction no further lifespan extension was displayed, lifespan was comparable to wild type flies under dietary restriction and flies with mutant Hex-C  under normal conditions. Thus decreased Hex-C activity triggers a dietary restriction like effect.	anti			Mutation	
337	35169	hk	hook	Drosophila melanogaster	Dm.2576	FBgn0001202		CG10653 dHk Dmel\CG10653	decrease	Loss-of-function mutation reduces maximum lifespan by 30%.	pro	30		Mutation	
1818	32080	hop	hopscotch	Drosophila melanogaster				4 CG1594 d-jak Dm JAK Dmel\CG1594 DmHD-160 HD-160 	decrease	Flies heterozygous for the gain-of-function hopTum-l mutation exhibited shortened lifespans compared with wild-type control flies.	pro	10	30	Mutation	
1818	32080	hop	hopscotch	Drosophila melanogaster				4 CG1594 d-jak Dm JAK Dmel\CG1594 DmHD-160 HD-160 	increase	Flies heterozygous for a loss-of-function hop allele, hop3, had longer lifespans.	pro	20	17	Mutation	
853	32133	Hsc70-3	Heat shock protein cognate 3	Drosophila melanogaster		FBgn0001218		anon-WO0138581.7 bip Bip BiP CG1579 CG4147 dhsc70 	increase	Increased average female lifespan (by 27%)   	pro		27	Overexpression	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	decrease	Reduced mean and maximal lifespan when overexpressed	anti			Overexpression	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	increase	TSA (Histone deacetylase (HDAC) inhibitor Trichostatin A (TSA)) could extend the lifespan of Drosophila melanogaster by promoting the hsp22 gene transcription, and affecting the chromatin morphology at the locus of hsp22 gene along the polytene chromosome.	pro			Epigenetic modification	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	increase	Overexpression increases mean lifespan by more than 30% and increases the premortality phase.	pro		30	Overexpression	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	decrease	Mean lifespan was reduced up to 21% upon doxycycline-regulated overexpression  of Hsp22, particularly at higher culture temperatures.	anti		21	Overexpression	
