pathway_id	subcategory	category
04216	Cell growth and death	Cellular Processes
04217	Cell growth and death	Cellular Processes
04218	Cell growth and death	Cellular Processes
04260	Circulatory system	Organismal Systems
04261	Circulatory system	Organismal Systems
04270	Circulatory system	Organismal Systems
04310	Signal transduction	Environmental Information Processing
04320	Development and regeneration	Organismal Systems
04330	Signal transduction	Environmental Information Processing
04340	Signal transduction	Environmental Information Processing
04341	Signal transduction	Environmental Information Processing
04350	Signal transduction	Environmental Information Processing
04360	Development and regeneration	Organismal Systems
04361	Development and regeneration	Organismal Systems
04370	Signal transduction	Environmental Information Processing
04371	Signal transduction	Environmental Information Processing
04380	Development and regeneration	Organismal Systems
04382	Development and regeneration	Organismal Systems
04390	Signal transduction	Environmental Information Processing
04391	Signal transduction	Environmental Information Processing
04392	Signal transduction	Environmental Information Processing
04510	Cellular community - eukaryotes	Cellular Processes
04512	Signaling molecules and interaction	Environmental Information Processing
04514	Signaling molecules and interaction	Environmental Information Processing
04520	Cellular community - eukaryotes	Cellular Processes
04530	Cellular community - eukaryotes	Cellular Processes
04540	Cellular community - eukaryotes	Cellular Processes
04550	Cellular community - eukaryotes	Cellular Processes
04610	Immune system	Organismal Systems
04611	Immune system	Organismal Systems
04612	Immune system	Organismal Systems
04613	Immune system	Organismal Systems
04614	Endocrine system	Organismal Systems
04620	Immune system	Organismal Systems
04621	Immune system	Organismal Systems
04622	Immune system	Organismal Systems
04623	Immune system	Organismal Systems
04624	Immune system	Organismal Systems
04625	Immune system	Organismal Systems
04626	Environmental adaptation	Organismal Systems
04630	Signal transduction	Environmental Information Processing
04640	Immune system	Organismal Systems
04650	Immune system	Organismal Systems
04657	Immune system	Organismal Systems
04658	Immune system	Organismal Systems
04659	Immune system	Organismal Systems
04660	Immune system	Organismal Systems
04662	Immune system	Organismal Systems
04664	Immune system	Organismal Systems
04666	Immune system	Organismal Systems
04668	Signal transduction	Environmental Information Processing
04670	Immune system	Organismal Systems
04672	Immune system	Organismal Systems
04710	Environmental adaptation	Organismal Systems
04711	Environmental adaptation	Organismal Systems
04712	Environmental adaptation	Organismal Systems
04713	Environmental adaptation	Organismal Systems
04714	Environmental adaptation	Organismal Systems
04720	Nervous system	Organismal Systems
04721	Nervous system	Organismal Systems
04722	Nervous system	Organismal Systems
04723	Nervous system	Organismal Systems
04724	Nervous system	Organismal Systems
04725	Nervous system	Organismal Systems
04726	Nervous system	Organismal Systems
04727	Nervous system	Organismal Systems
04728	Nervous system	Organismal Systems
04730	Nervous system	Organismal Systems
04740	Sensory system	Organismal Systems
04742	Sensory system	Organismal Systems
04744	Sensory system	Organismal Systems
04745	Sensory system	Organismal Systems
04750	Sensory system	Organismal Systems
04810	Cell motility	Cellular Processes
04814	Cell motility	Cellular Processes
04820	Cell motility	Cellular Processes
04910	Endocrine system	Organismal Systems
04911	Endocrine system	Organismal Systems
04912	Endocrine system	Organismal Systems
04913	Endocrine system	Organismal Systems
04914	Endocrine system	Organismal Systems
04915	Endocrine system	Organismal Systems
04916	Endocrine system	Organismal Systems
04917	Endocrine system	Organismal Systems
04918	Endocrine system	Organismal Systems
04919	Endocrine system	Organismal Systems
04920	Endocrine system	Organismal Systems
04921	Endocrine system	Organismal Systems
04922	Endocrine system	Organismal Systems
04923	Endocrine system	Organismal Systems
04924	Endocrine system	Organismal Systems
04925	Endocrine system	Organismal Systems
04926	Endocrine system	Organismal Systems
04927	Endocrine system	Organismal Systems
04928	Endocrine system	Organismal Systems
04929	Endocrine system	Organismal Systems
04930	Endocrine and metabolic disease	Human Diseases
04931	Endocrine and metabolic disease	Human Diseases
04932	Endocrine and metabolic disease	Human Diseases
04933	Endocrine and metabolic disease	Human Diseases
04934	Endocrine and metabolic disease	Human Diseases
04935	Endocrine system	Organismal Systems
04936	Endocrine and metabolic disease	Human Diseases
04940	Endocrine and metabolic disease	Human Diseases
04950	Endocrine and metabolic disease	Human Diseases
04960	Excretory system	Organismal Systems
04961	Excretory system	Organismal Systems
04962	Excretory system	Organismal Systems
04964	Excretory system	Organismal Systems
04966	Excretory system	Organismal Systems
04970	Digestive system	Organismal Systems
04971	Digestive system	Organismal Systems
04972	Digestive system	Organismal Systems
04973	Digestive system	Organismal Systems
04974	Digestive system	Organismal Systems
04975	Digestive system	Organismal Systems
04976	Digestive system	Organismal Systems
04977	Digestive system	Organismal Systems
04978	Digestive system	Organismal Systems
04979	Digestive system	Organismal Systems
04980	Digestive system	Organismal Systems
04981	Digestive system	Organismal Systems
05010	Neurodegenerative disease	Human Diseases
05012	Neurodegenerative disease	Human Diseases
05014	Neurodegenerative disease	Human Diseases
05016	Neurodegenerative disease	Human Diseases
05017	Neurodegenerative disease	Human Diseases
05020	Neurodegenerative disease	Human Diseases
05022	Neurodegenerative disease	Human Diseases
05030	Substance dependence	Human Diseases
05031	Substance dependence	Human Diseases
05032	Substance dependence	Human Diseases
05033	Substance dependence	Human Diseases
05034	Substance dependence	Human Diseases
05100	Infectious disease: bacterial	Human Diseases
05110	Infectious disease: bacterial	Human Diseases
05111	Cellular community - prokaryotes	Cellular Processes
05112	Infectious disease: bacterial	Human Diseases
05113	Infectious disease: bacterial	Human Diseases
05114	Infectious disease: bacterial	Human Diseases
05115	Infectious disease: bacterial	Human Diseases
05116	Infectious disease: bacterial	Human Diseases
05117	Infectious disease: bacterial	Human Diseases
05118	Infectious disease: bacterial	Human Diseases
05119	Infectious disease: bacterial	Human Diseases
05120	Infectious disease: bacterial	Human Diseases
05121	Infectious disease: bacterial	Human Diseases
05122	Infectious disease: bacterial	Human Diseases
05123	Infectious disease: bacterial	Human Diseases
05124	Infectious disease: bacterial	Human Diseases
05125	Infectious disease: bacterial	Human Diseases
05126	Infectious disease: bacterial	Human Diseases
05127	Infectious disease: bacterial	Human Diseases
05128	Infectious disease: bacterial	Human Diseases
05129	Infectious disease: bacterial	Human Diseases
05130	Infectious disease: bacterial	Human Diseases
05131	Infectious disease: bacterial	Human Diseases
05132	Infectious disease: bacterial	Human Diseases
05133	Infectious disease: bacterial	Human Diseases
05134	Infectious disease: bacterial	Human Diseases
05135	Infectious disease: bacterial	Human Diseases
05140	Infectious disease: parasitic	Human Diseases
05142	Infectious disease: parasitic	Human Diseases
05143	Infectious disease: parasitic	Human Diseases
05144	Infectious disease: parasitic	Human Diseases
05145	Infectious disease: parasitic	Human Diseases
05146	Infectious disease: parasitic	Human Diseases
05150	Infectious disease: bacterial	Human Diseases
05152	Infectious disease: bacterial	Human Diseases
05160	Infectious disease: viral	Human Diseases
05161	Infectious disease: viral	Human Diseases
05162	Infectious disease: viral	Human Diseases
05163	Infectious disease: viral	Human Diseases
05164	Infectious disease: viral	Human Diseases
05165	Infectious disease: viral	Human Diseases
05166	Infectious disease: viral	Human Diseases
05167	Infectious disease: viral	Human Diseases
05168	Infectious disease: viral	Human Diseases
05169	Infectious disease: viral	Human Diseases
05170	Infectious disease: viral	Human Diseases
05171	Infectious disease: viral	Human Diseases
05200	Cancer: overview	Human Diseases
05202	Cancer: overview	Human Diseases
05203	Cancer: overview	Human Diseases
05204	Cancer: overview	Human Diseases
05205	Cancer: overview	Human Diseases
05206	Cancer: overview	Human Diseases
05207	Cancer: overview	Human Diseases
05208	Cancer: overview	Human Diseases
05210	Cancer: specific types	Human Diseases
05211	Cancer: specific types	Human Diseases
05212	Cancer: specific types	Human Diseases
05213	Cancer: specific types	Human Diseases
05214	Cancer: specific types	Human Diseases
05215	Cancer: specific types	Human Diseases
05216	Cancer: specific types	Human Diseases
05217	Cancer: specific types	Human Diseases
05218	Cancer: specific types	Human Diseases
05219	Cancer: specific types	Human Diseases
05220	Cancer: specific types	Human Diseases
05221	Cancer: specific types	Human Diseases
05222	Cancer: specific types	Human Diseases
05223	Cancer: specific types	Human Diseases
05224	Cancer: specific types	Human Diseases
05225	Cancer: specific types	Human Diseases
05226	Cancer: specific types	Human Diseases
05230	Cancer: overview	Human Diseases
05231	Cancer: overview	Human Diseases
05235	Cancer: overview	Human Diseases
05310	Immune disease	Human Diseases
05320	Immune disease	Human Diseases
05321	Immune disease	Human Diseases
05322	Immune disease	Human Diseases
05323	Immune disease	Human Diseases
05330	Immune disease	Human Diseases
05332	Immune disease	Human Diseases
05340	Immune disease	Human Diseases
05410	Cardiovascular disease	Human Diseases
05412	Cardiovascular disease	Human Diseases
05414	Cardiovascular disease	Human Diseases
05415	Cardiovascular disease	Human Diseases
05416	Cardiovascular disease	Human Diseases
05417	Cardiovascular disease	Human Diseases
05418	Cardiovascular disease	Human Diseases
07011	Chronology: Antiinfectives	Drug Development
07012	Chronology: Antiinfectives	Drug Development
07013	Chronology: Antiinfectives	Drug Development
07014	Chronology: Antiinfectives	Drug Development
07015	Chronology: Nervous system agents	Drug Development
07016	Chronology: Other drugs	Drug Development
07017	Chronology: Other drugs	Drug Development
07018	Chronology: Other drugs	Drug Development
07019	Chronology: Antiinfectives	Drug Development
07020	Chronology: Antiinfectives	Drug Development
07021	Chronology: Antiinfectives	Drug Development
07023	Chronology: Antiinfectives	Drug Development
07024	Target-based classification: Enzymes	Drug Development
07025	Structure-based classification	Drug Development
07026	Chronology: Antiinfectives	Drug Development
07027	Chronology: Nervous system agents	Drug Development
07028	Chronology: Nervous system agents	Drug Development
07029	Chronology: Nervous system agents	Drug Development
07030	Chronology: Nervous system agents	Drug Development
07031	Chronology: Nervous system agents	Drug Development
07032	Chronology: Nervous system agents	Drug Development
07033	Chronology: Nervous system agents	Drug Development
07034	Structure-based classification	Drug Development
07035	Structure-based classification	Drug Development
07036	Target-based classification: Ion channels	Drug Development
07037	Chronology: Other drugs	Drug Development
07038	Chronology: Other drugs	Drug Development
07039	Chronology: Nervous system agents	Drug Development
07040	Chronology: Antineoplastics	Drug Development
07041	Chronology: Antineoplastics	Drug Development
07042	Chronology: Antineoplastics	Drug Development
07043	Chronology: Antineoplastics	Drug Development
07044	Chronology: Antiinfectives	Drug Development
07045	Chronology: Antineoplastics	Drug Development
07046	Chronology: Other drugs	Drug Development
07047	Chronology: Other drugs	Drug Development
07048	Chronology: Other drugs	Drug Development
07049	Chronology: Other drugs	Drug Development
07050	Chronology: Other drugs	Drug Development
07051	Chronology: Other drugs	Drug Development
07052	Chronology: Other drugs	Drug Development
07053	Chronology: Antiinfectives	Drug Development
07054	Chronology: Other drugs	Drug Development
07055	Chronology: Other drugs	Drug Development
07056	Chronology: Nervous system agents	Drug Development
07057	Chronology: Nervous system agents	Drug Development
07110	Skeleton-based classification	Drug Development
07112	Skeleton-based classification	Drug Development
07114	Skeleton-based classification	Drug Development
07117	Skeleton-based classification	Drug Development
07211	Target-based classification: G protein-coupled receptors	Drug Development
07212	Target-based classification: G protein-coupled receptors	Drug Development
07213	Target-based classification: G protein-coupled receptors	Drug Development
07214	Target-based classification: G protein-coupled receptors	Drug Development
07215	Target-based classification: G protein-coupled receptors	Drug Development
07216	Target-based classification: Enzymes	Drug Development
07217	Target-based classification: Enzymes	Drug Development
07218	Target-based classification: Enzymes	Drug Development
07219	Target-based classification: Enzymes	Drug Development
07220	Target-based classification: G protein-coupled receptors	Drug Development
07221	Target-based classification: Ion channels	Drug Development
07222	Target-based classification: Nuclear receptors	Drug Development
07223	Target-based classification: Nuclear receptors	Drug Development
07224	Target-based classification: G protein-coupled receptors	Drug Development
07225	Target-based classification: Nuclear receptors	Drug Development
07226	Target-based classification: Nuclear receptors	Drug Development
07227	Target-based classification: G protein-coupled receptors	Drug Development
07228	Target-based classification: G protein-coupled receptors	Drug Development
07229	Target-based classification: G protein-coupled receptors	Drug Development
07230	Target-based classification: Ion channels	Drug Development
07231	Target-based classification: Ion channels	Drug Development
07232	Target-based classification: Ion channels	Drug Development
07233	Target-based classification: Transporters	Drug Development
07234	Target-based classification: Transporters	Drug Development
07235	Target-based classification: Ion channels	Drug Development
